| 참고문헌 | 상태 | HTTP | GitHub 미러 | URL |
| ref-127 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/interrupt_task_request.json |
| ref-128 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/rewind_task_request.json |
| ref-129 | 정책 차단 | 403 | 열림(원문) | https://github.com/MESAInternational/B2MML-BatchML/blob/master/Schema/B2MML-TransactionProfile.xsd |
| ref-130 | 정책 차단 | 403 | - | https://github.com/OPCFoundation/UA-Nodeset/tree/latest/ISA95-JOBCONTROL |
| ref-131 | 정책 차단 | - | - | https://reference.opcfoundation.org/specs/OPC-10031-4/6.2 |
| ref-132 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S1366554525001231 |
| ref-133 | 정책 차단 | - | - | https://onlinelibrary.wiley.com/doi/full/10.1002/net.22281 |
| ref-134 | 정책 차단 | - | - | https://pubsonline.informs.org/doi/abs/10.1287/msom.1100.0291 |
| ref-135 | 정책 차단 | - | - | https://www.ascm.org/globalassets/ascm_website_assets/docs/scor/intro-and-front-matter-scor-digital-standard-2025.pdf |
| ref-136 | 정책 차단 | - | - | https://www.mdpi.com/2076-3417/15/13/7235 |
| ref-137 | 정책 차단 | - | - | https://news.mt.co.kr/mtview.php?no=2025012116183583251 |
| ref-138 | 정책 차단 | - | - | https://www.kssn.net/search/stddetail.do?itemNo=K001010147546 |
| ref-139 | 정책 차단 | - | - | https://www.iso.org/standard/54497.html |
| ref-140 | 정책 차단 | - | - | https://scor.ascm.org/performance/reliability/RL.1.1 |
| ref-141 | 정책 차단 | - | - | https://wercmetrics.werc.org/WERC-DC-Measures-Survey-2025.pdf |
| ref-142 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0360835220302527 |
| ref-143 | 정책 차단 | - | - | https://projectproduction.org/journal/littles-law-a-practical-approach-to-understanding-production-system-performance/ |
| ref-144 | 정책 차단 | - | - | https://pubsonline.informs.org/doi/abs/10.1287/trsc.2018.0873 |
| ref-145 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/pii/S0307904X20305801 |
| ref-146 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0305048324001336 |
| ref-147 | 정책 차단 | 403 | - | https://github.com/process-intelligence-solutions/pm4py |
| ref-148 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/robot_state.json |
| ref-149 | 정책 차단 | - | - | https://link.springer.com/chapter/10.1007/978-3-319-19509-4_9 |
| ref-150 | 정책 차단 | - | - | https://www.cio.com/article/3517636/%EC%98%A4%ED%86%A0%EC%8A%A4%ED%86%A0%EC%96%B4-%EB%AC%BC%EB%A5%98-%EC%9E%90%EB%8F%99%ED%99%94-%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%9D%98-%EA%B2%BD%EC%A0%9C%EC%A0%81-%ED%9A%A8%EA%B3%BC-%EC%97%B0%EA%B5%AC.html |
| ref-151 | 정책 차단 | - | - | https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001434387 |
| ref-152 | 정책 차단 | - | - | https://arxiv.org/abs/2501.08726 |
| ref-153 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/integration_fleets_adapter_tutorial.html |
| ref-154 | 정책 차단 | 403 | 열림(원문) | https://github.com/open-rmf/rmf_api_msgs/blob/main/rmf_api_msgs/schemas/location_2D.json |
| ref-155 | 정책 차단 | - | - | https://www.ros.org/reps/rep-0105.html |
| ref-156 | 정책 차단 | 403 | 열림(원문) | https://github.com/buildingSMART/IFC4.3.x-development/blob/ifc4.3-main/docs/schemas/core/IfcProductExtension/Entities/IfcSpace.md |
| ref-157 | 정책 차단 | 403 | - | https://github.com/opengeospatial/IndoorGML-SWG |
| ref-158 | 정책 차단 | - | - | https://www.iso.org/standard/83153.html |
| ref-159 | 정책 차단 | - | - | https://www.iso.org/standard/86749.html |
| ref-160 | 정책 차단 | - | - | https://arxiv.org/abs/2501.18110 |
| ref-161 | 정책 차단 | - | - | https://journals.sagepub.com/doi/10.1177/02783649241287797 |
| ref-162 | 정책 차단 | - | - | https://www.gs1.org/standards/id-keys/gln/physical-location |
| ref-163 | 정책 차단 | - | - | https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART003305667 |
| ref-164 | 정책 차단 | 403 | - | https://github.com/tasl-lab/LaMMA-P |
| ref-165 | 정책 차단 | - | - | https://arxiv.org/abs/2502.03814 |
| ref-166 | 정책 차단 | - | - | https://arxiv.org/abs/2410.21040 |
| ref-167 | 정책 차단 | - | - | https://arxiv.org/abs/2503.13813 |
| ref-168 | 정책 차단 | - | - | https://arxiv.org/abs/2512.02810 |
| ref-169 | 정책 차단 | 403 | - | https://github.com/SHAILAB-IPEC/COHERENT |
| ref-170 | 정책 차단 | - | - | https://arxiv.org/abs/2603.02669 |
| ref-171 | 정책 차단 | 403 | - | https://github.com/nasa-jpl/rosa |
| ref-172 | 오류 | 403 | - | https://github.com/nasa-jpl/rosa/wiki/Custom-Agents |
| ref-173 | 정책 차단 | 403 | - | https://github.com/microsoft/PromptCraft-Robotics |
| ref-174 | 정책 차단 | - | - | https://arxiv.org/abs/2306.17582 |
| ref-175 | 정책 차단 | 403 | - | https://github.com/RobotecAI/rai |
| ref-176 | 정책 차단 | - | - | https://www.inorbit.ai/press/inorbit-robops-copilot |
| ref-177 | 정책 차단 | - | - | https://www.roboticstomorrow.com/news/2026/06/22/inorbitai-demonstrates-the-future-of-multi-vendor-robot-orchestration-and-physical-ai-at-automate-2026/26757/ |
| ref-178 | 정책 차단 | - | - | https://www.businesswire.com/news/home/20250630008190/en/Formant-F3-Brings-Generative-AI-and-Agentic-Reasoning-to-Robot-Ops |
| ref-179 | 정책 차단 | - | - | https://wowtale.net/2026/08/27/263530/ |
| ref-180 | 정책 차단 | - | - | https://d2j16w31g89z0j.cloudfront.net/site/2026w/abs/0560-YDVVV.pdf |
| ref-181 | 정책 차단 | - | - | https://arxiv.org/abs/2510.22784 |
| ref-182 | 정책 차단 | - | - | https://eclass.eu/aktuelles/news/neuer-content-fuer-eclass-release-150 |
| ref-183 | 정책 차단 | - | - | https://tc3.iec.ch/tc-activity/common-data-dictionary-cdd/ |
| ref-184 | 정책 차단 | - | - | https://eclass.eu/support/technical-specification/structure-and-elements/classification-class |
| ref-185 | 정책 차단 | - | - | https://eclass.eu/en/eclass-standard/releases |
| ref-186 | 정책 차단 | - | - | https://arxiv.org/abs/1906.08291 |
| ref-187 | 정책 차단 | - | - | https://dl.acm.org/doi/10.1016/j.artint.2014.11.006 |
| ref-188 | 정책 차단 | - | - | https://ieeexplore.ieee.org/abstract/document/8620328/ |
| ref-189 | 정책 차단 | - | - | https://arxiv.org/abs/1901.11282 |
| ref-190 | 정책 차단 | - | - | https://arxiv.org/abs/1507.03289 |
| ref-191 | 정책 차단 | 403 | - | https://github.com/DiligentPanda/MAPF-LRR2023 |
| ref-192 | 정책 차단 | - | - | https://arxiv.org/abs/2609.10400 |
| ref-193 | 정책 차단 | - | - | https://ieeexplore.ieee.org/document/10132864/ |
| ref-194 | 정책 차단 | - | - | https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001130155 |
| ref-195 | 정책 차단 | - | - | https://www.researchgate.net/publication/224252713_SIPP_Safe_interval_path_planning_for_dynamic_environments |
| ref-196 | 정책 차단 | - | - | https://arxiv.org/abs/1702.05515 |
| ref-197 | 정책 차단 | 403 | - | https://github.com/open-rmf/rmf_traffic |
| ref-198 | 정책 차단 | - | - | https://industrialdigitaltwin.org/wp-content/uploads/2025/03/IDTA-02047-1-0-Submodel_Technical-Data-for-AGV.pdf |
| ref-199 | 정책 차단 | - | - | https://arxiv.org/abs/2410.21415 |
| ref-200 | 정책 차단 | - | - | https://industrialdigitaltwin.org/wp-content/uploads/2024/10/2024-10_IDTA_ECLASS_Semantic_Transport_ECLASS_in_AAS_1.0.pdf |
| ref-201 | 정책 차단 | - | - | https://arxiv.org/abs/2606.02167 |
| ref-202 | 정책 차단 | - | - | https://store-us.semi.org/products/e08400-semi-e84-specification-for-enhanced-carrier-handoff-parallel-i-o-interface |
| ref-203 | 정책 차단 | - | - | https://www.peergroup.com/definition-of-standard/semi-e84/ |
| ref-204 | 정책 차단 | - | - | https://www.astm.org/f3499-21.html |
| ref-205 | 정책 차단 | - | - | https://www.nist.gov/publications/design-and-application-reconfigurable-mobile-manipulator-artifact-rmma |
| ref-206 | 정책 차단 | - | - | https://pubmed.ncbi.nlm.nih.gov/28690359/ |
| ref-207 | 정책 차단 | - | - | https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2018.00059/full |
| ref-208 | 정책 차단 | - | - | https://www.researchgate.net/publication/289338501_Online_pickup_and_delivery_planning_with_transfers_for_mobile_robots |
| ref-209 | 정책 차단 | - | - | https://arxiv.org/abs/2607.17724 |
| ref-210 | 정책 차단 | - | - | https://webstore.ansi.org/standards/ria/ansia3r15082023 |
| ref-211 | 정책 차단 | - | - | https://www.kssn.net/search/stddetail.do?itemNo=K001010083660 |
| ref-212 | 정책 차단 | 403 | 열림(원문) | https://github.com/continua-systems/vdma-lif/blob/main/schema/lif-schema.json |
| ref-213 | 정책 차단 | 403 | 열림(원문) | https://github.com/buildingSMART/IFC4.3.x-development/blob/ifc4.3-main/docs/schemas/core/IfcProductExtension/Entities/IfcTransportElement.md |
| ref-214 | 정책 차단 | 403 | 열림(원문) | https://github.com/buildingSMART/IFC4.3.x-development/blob/ifc4.3-main/docs/schemas/domain/IfcElectricalDomain/Types/IfcOutletTypeEnum.md |
| ref-215 | 정책 차단 | 403 | 열림(원문) | https://github.com/buildingSMART/IFC4.3.x-development/blob/ifc4.3-main/docs/schemas/domain/IfcElectricalDomain/Types/IfcElectricApplianceTypeEnum.md |
| ref-216 | 정책 차단 | 403 | 열림(원문) | https://github.com/ros-navigation/navigation2/blob/main/nav2_docking/README.md |
| ref-217 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S0921889015302724 |
| ref-218 | 정책 차단 | - | - | https://www.researchgate.net/publication/286354583_An_automatic_approach_for_the_generation_of_the_roadmap_for_multi-AGV_systems_in_an_industrial_environment |
| ref-219 | 정책 차단 | - | - | https://www.manualslib.com/manual/1941068/Mir-Mir-Charge-24v.html?page=23 |
| ref-220 | 정책 차단 | - | - | https://www.pointr.tech/technology/imdf |
| ref-221 | 정책 차단 | - | - | https://arxiv.org/abs/2408.15870 |
| ref-222 | 정책 차단 | - | - | https://navitecsystems.com/universal-fleet-control/ |
| ref-223 | 정책 차단 | 403 | - | http://ais.informatik.uni-freiburg.de/publications/papers/boniardi17iros.pdf |
| ref-224 | 정책 차단 | - | - | https://arxiv.org/abs/2408.01737 |
| ref-225 | 정책 차단 | - | - | https://isprs-archives.copernicus.org/articles/XLIII-B4-2022/295/2022/ |
| ref-226 | 정책 차단 | - | - | https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003269295 |
| ref-227 | 정책 차단 | - | - | https://jk.de/media/a2/50/ce/1738939330/mir_fleet_enterprise_documentation_1.2_en.pdf?ts=1738939330 |
| ref-228 | 정책 차단 | 403 | 열림(원문) | https://github.com/VDA5050/VDA5050/blob/main/json_schemas/factsheet.schema |
| ref-229 | 정책 차단 | 403 | 열림(공식 산출물) | https://github.com/admin-shell-io/submodel-templates/tree/main/published/Capability%20Description |
| ref-230 | 정책 차단 | 403 | 열림(원문) | https://github.com/MassRobotics-AMR/AMR_Interop_Standard/blob/main/AMR_Interop_Standard.json |
| ref-231 | 정책 차단 | 403 | - | https://github.com/CaSkade-Automation/CaSkMan |
| ref-232 | 정책 차단 | 403 | - | https://github.com/hsu-aut/IndustrialStandard-ODP-IEEE1872-2 |
| ref-233 | 정책 차단 | 403 | - | https://github.com/ease-crc/soma |
| ref-234 | 정책 차단 | 403 | 열림(공식 산출물) | https://github.com/admin-shell-io/submodel-templates/tree/main/published/Technical%20Data%20for%20Automated%20Guided%20Vehicles |
| ref-235 | 정책 차단 | 403 | 열림(원문) | https://github.com/w3c/sdw/blob/gh-pages/ssn/integrated/ssn-system.ttl |
| ref-236 | 정책 차단 | - | - | https://doi.org/10.3390/electronics15163562 |
| ref-237 | 정책 차단 | - | - | https://www.techrxiv.org/users/685235/articles/679210-ontology-based-task-allocation-for-heterogeneous-resources-in-line-less-mobile-assembly-systems |
| ref-238 | 정책 차단 | - | - | https://arxiv.org/abs/2404.17524 |
| ref-239 | 정책 차단 | - | - | https://arxiv.org/abs/2606.17073 |
| ref-240 | 정책 차단 | - | - | https://www.iso.org/standard/82334.html |
| ref-241 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/abs/pii/S2452414X23000353 |
| ref-242 | 정책 차단 | - | - | https://arxiv.org/abs/2510.07417 |
| ref-243 | 정책 차단 | 403 | 열림(원문) | https://github.com/admin-shell-io/submodel-templates/blob/main/published/Capability%20Description/1/0/IDTA%2002020_Template_Capability_Description.json |
| ref-244 | 정책 차단 | 403 | 열림(원문) | https://github.com/OPCFoundation/UA-Nodeset/blob/latest/Robotics/Opc.Ua.Robotics.Nodeset2.documentation.csv |
| ref-245 | 정책 차단 | 403 | 열림(원문) | https://github.com/admin-shell-io/submodel-templates/blob/main/published/Technical%20Data%20for%20Automated%20Guided%20Vehicles/1/0/IDTA%2002047-1-0%20Template_TechnicalDataForAGV.json |
| ref-246 | 정책 차단 | - | - | https://www.sciencedirect.com/science/article/pii/S2351978921002249 |
| ref-247 | 정책 차단 | - | - | https://industrialdigitaltwin.org/wp-content/uploads/2024/07/IDTA-01003-a-3-0-2_SpecificationAssetAdministrationShell_Part3a_DataSpecification_IEC613601.pdf |
| ref-248 | 정책 차단 | - | - | https://www.iso.org/standard/84589.html |
| ref-249 | 정책 차단 | - | - | https://arxiv.org/abs/2306.07569 |
| ref-250 | 정책 차단 | 403 | - | https://github.com/RVMI/skiros2 |
| ref-251 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/integration_fleets.html |
| ref-252 | 정책 차단 | - | 열림(원문) | https://osrf.github.io/ros2multirobotbook/integration.html |
| ref-253 | 정책 차단 | 403 | 열림(공식 산출물) | https://github.com/MassRobotics-AMR/AMR_Interop_Standard |
